"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"Mary Miller","IL","No Associate's","Eastern Illinois University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mary Peltola","AK","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Matt Cartwright","PA","No Associate's","Hamilton College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Matt Gaetz","FL","No Associate's","Florida State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Matt Rosendale Sr.","MT","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Max Miller","OH","No Associate's","Cleveland State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Maxine Dexter","OR","No Associate's","University of Washington","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Maxine Waters","CA","No Associate's","California State University Los Angeles","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Maxwell Frost","FL","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mazie Hirono","HI","No Associate's","University of Hawaii Manoa","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Melanie Stansbury","NM","No Associate's","Saint Mary's College of California","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael ""Mike"" Guest","MS","No Associate's","Mississippi State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Michael ""Mike"" Waltz","FL","No Associate's","Virginia Military Institute","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael Baumgartner","WA","No Associate's","Washington State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael Bennet","CO","No Associate's","Wesleyan University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Michael Burgess","TX","No Associate's","North Texas State University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Michael Cloud","TX","No Associate's","Oral Roberts University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael McCaul","TX","No Associate's","Trinity University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Michael Rulli","OH","No Associate's","Emerson College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael Rulli","OH","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michelle Fischbach","MN","No Associate's","Saint Cloud State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Michelle Steel","CA","No Associate's","Pepperdine University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Bost","IL","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Braun","IN","No Associate's","Wabash College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Carey","OH","Associate's Degree","The Ohio State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Collins Jr.","GA","No Associate's","Georgia State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Crapo","ID","No Associate's","Brigham Young University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Ezell","MS","No Associate's","University of Southern Mississippi","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Flood","NE","No Associate's","University of Notre Dame","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Gallagher","WI","No Associate's","Princeton University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Haridopolos","FL","No Associate's","Stetson University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Mike Johnson","LA","No Associate's","Louisiana State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Kelly","PA","No Associate's","University of Notre Dame","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Kennedy","UT","No Associate's","Brigham Young University","No Graduate Degree","Law Degree","Medical Degree or PhD"
"Mike Lawler","NY","No Associate's","Manhattan College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Lee","UT","No Associate's","Brigham Young University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Levin","CA","No Associate's","Stanford University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Quigley","IL","No Associate's","Roosevelt University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Rogers","AL","No Associate's","Jacksonville State University","Graduate Degree","Law Degree","No Medical Degree or PhD"
